trade_num,direction,type,entry_datetime,exit_datetime,entry_price,exit_price,pnl_pts,equity_pts
48,SHORT,SL,2026-03-01 02:50:00,2026-03-01 03:25:00,67773.42,67570.02,203.40,5525.73
49,LONG,SL,2026-03-02 15:10:00,2026-03-02 15:50:00,68321.84,69378.71,1056.87,6582.60
50,SHORT,SL,2026-03-03 05:45:00,2026-03-03 06:55:00,67914.40,68009.22,-94.82,6487.79
51,LONG,SL,2026-03-03 16:05:00,2026-03-03 16:30:00,68351.06,68732.56,381.50,6869.29
52,SHORT,SL,2026-03-03 16:35:00,2026-03-03 16:45:00,67849.79,67753.12,96.67,6965.96
53,LONG,SL,2026-03-03 16:50:00,2026-03-03 17:00:00,68167.61,68150.03,-17.58,6948.38
54,SHORT,SL,2026-03-03 17:10:00,2026-03-03 17:15:00,67760.22,67895.86,-135.64,6812.74
55,LONG,SL,2026-03-03 17:20:00,2026-03-03 17:30:00,68253.07,68116.62,-136.45,6676.28
56,SHORT,SL,2026-03-03 17:30:00,2026-03-03 17:35:00,67829.41,67965.18,-135.77,6540.51
57,LONG,SL,2026-03-03 17:40:00,2026-03-03 18:10:00,68154.08,68190.95,36.87,6577.38
58,SHORT,SL,2026-03-04 03:30:00,2026-03-04 03:45:00,67740.73,67629.97,110.76,6688.14
59,LONG,SL,2026-03-04 05:40:00,2026-03-04 06:00:00,68282.61,68166.95,-115.66,6572.48
60,SHORT,SL,2026-03-06 17:35:00,2026-03-06 17:45:00,67854.32,67918.83,-64.51,6507.98
61,LONG,SL,2026-03-06 18:05:00,2026-03-06 18:55:00,68219.03,68286.36,67.33,6575.31
62,SHORT,SL,2026-03-06 20:25:00,2026-03-06 20:40:00,67815.21,67950.92,-135.71,6439.59
63,LONG,SL,2026-03-06 20:55:00,2026-03-06 21:25:00,68145.45,68015.34,-130.11,6309.48
64,SHORT,SL,2026-03-07 06:50:00,2026-03-07 07:20:00,67796.83,67651.93,144.90,6454.39
65,LONG,SL,2026-03-07 11:15:00,2026-03-07 11:55:00,68142.19,68022.00,-120.19,6334.19
66,SHORT,SL,2026-03-07 14:00:00,2026-03-07 14:15:00,67827.42,67766.80,60.62,6394.82
67,LONG,SL,2026-03-09 09:30:00,2026-03-09 09:45:00,68135.77,68265.41,129.64,6524.46
68,SHORT,SL,2026-03-09 10:30:00,2026-03-09 11:35:00,67765.18,67579.31,185.87,6710.33
69,LONG,SL,2026-03-09 12:25:00,2026-03-09 12:45:00,68066.42,68148.91,82.49,6792.81
70,SHORT,SL,2026-03-22 21:10:00,2026-03-22 21:25:00,67733.65,67667.64,66.01,6858.82
71,LONG,SL,2026-03-22 22:20:00,2026-03-22 22:40:00,68169.95,68187.72,17.77,6876.59
72,SHORT,SL,2026-03-22 23:50:00,2026-03-23 00:10:00,67852.80,67982.48,-129.68,6746.92
73,LONG,SL,2026-03-23 02:25:00,2026-03-23 03:10:00,68181.54,68383.52,201.98,6948.90
74,SHORT,SL,2026-03-23 06:40:00,2026-03-23 07:10:00,67741.27,67824.57,-83.30,6865.60
75,LONG,SL,2026-03-23 07:35:00,2026-03-23 08:25:00,68121.76,68485.70,363.94,7229.54
76,SHORT,SL,2026-03-27 08:35:00,2026-03-27 08:40:00,67616.82,67752.13,-135.31,7094.23
77,LONG,SL,2026-03-27 08:50:00,2026-03-27 09:05:00,67929.56,67794.12,-135.44,6958.79
78,SHORT,SL,2026-03-27 10:35:00,2026-03-27 11:10:00,67025.74,66519.78,505.96,7464.75
