datetime,open,high,low,close,volume
2026-02-17 06:45:00,1980.63,1980.63,1979.56,1979.56,0
2026-02-17 06:50:00,1979.80,1981.53,1979.80,1981.53,0
2026-02-17 06:55:00,1981.46,1981.51,1981.10,1981.10,38744064
2026-02-17 07:00:00,1980.72,1980.72,1978.99,1979.77,0
2026-02-17 07:05:00,1979.10,1979.10,1977.30,1977.30,0
2026-02-17 07:10:00,1975.90,1976.27,1975.67,1976.21,0
2026-02-17 07:15:00,1975.21,1976.97,1975.21,1976.41,0
2026-02-17 07:20:00,1975.19,1975.43,1974.93,1974.93,82028544
2026-02-17 07:25:00,1975.27,1975.36,1973.48,1973.48,0
2026-02-17 07:30:00,1973.62,1975.97,1973.62,1974.88,0
2026-02-17 07:35:00,1975.02,1980.95,1975.02,1980.95,21680128
2026-02-17 07:40:00,1981.97,1981.97,1980.78,1980.78,0
2026-02-17 07:45:00,1981.41,1983.20,1980.87,1982.97,145195008
2026-02-17 07:50:00,1985.27,1985.98,1985.00,1985.98,27680768
2026-02-17 07:55:00,1985.94,1986.52,1985.56,1985.56,34754560
2026-02-17 08:00:00,1984.98,1987.78,1984.98,1987.78,0
2026-02-17 08:05:00,1987.98,1989.80,1987.34,1989.80,22398976
2026-02-17 08:10:00,1987.70,1988.92,1987.70,1988.46,19529728
2026-02-17 08:15:00,1986.58,1986.58,1984.57,1984.84,0
2026-02-17 08:20:00,1984.07,1984.59,1984.07,1984.53,41207808
2026-02-17 08:25:00,1984.04,1984.04,1983.39,1983.41,142362624
2026-02-17 08:30:00,1984.24,1984.24,1983.00,1983.00,0
2026-02-17 08:35:00,1982.43,1982.43,1974.00,1975.16,75925504
2026-02-17 08:40:00,1975.28,1975.98,1975.04,1975.98,0
2026-02-17 08:45:00,1975.98,1977.94,1975.98,1977.23,152100864
2026-02-17 08:50:00,1976.63,1976.63,1975.23,1975.23,19564544
2026-02-17 08:55:00,1975.24,1975.93,1974.99,1975.93,53559296
2026-02-17 09:00:00,1976.93,1977.11,1976.93,1977.11,0
2026-02-17 09:05:00,1979.09,1979.09,1977.98,1977.98,0
2026-02-17 09:10:00,1972.84,1972.84,1970.27,1971.43,0
2026-02-17 09:15:00,1971.37,1971.82,1971.37,1971.57,19154944
2026-02-17 09:20:00,1971.42,1972.63,1971.04,1971.04,65153024
2026-02-17 09:25:00,1971.51,1972.87,1971.51,1972.58,75798528
2026-02-17 09:30:00,1972.63,1973.56,1971.31,1971.31,0
2026-02-17 09:35:00,1972.30,1972.37,1972.24,1972.37,34682880
2026-02-17 09:40:00,1970.86,1970.86,1970.11,1970.72,0
2026-02-17 09:45:00,1972.59,1974.31,1972.59,1974.25,0
2026-02-17 09:50:00,1973.52,1975.97,1973.52,1975.97,145856512
2026-02-17 09:55:00,1975.98,1975.98,1974.53,1974.53,182523904
2026-02-17 10:00:00,1974.73,1975.98,1974.73,1975.82,0
2026-02-17 10:05:00,1975.86,1975.86,1974.62,1974.62,34033664
2026-02-17 10:10:00,1974.68,1975.08,1971.73,1971.73,0
2026-02-17 10:15:00,1969.60,1969.60,1964.21,1964.21,0
2026-02-17 10:20:00,1964.05,1967.22,1964.05,1966.93,53075968
2026-02-17 10:25:00,1966.86,1967.03,1966.42,1966.66,98654208
2026-02-17 10:30:00,1966.39,1966.42,1966.29,1966.42,1394688
2026-02-17 10:35:00,1966.31,1966.31,1963.68,1966.13,19875840
2026-02-17 10:40:00,1965.16,1965.16,1962.95,1963.16,22038528
2026-02-17 10:45:00,1963.16,1963.62,1963.16,1963.62,46260224
2026-02-17 10:50:00,1961.47,1963.31,1961.47,1963.31,0
2026-02-17 10:55:00,1963.46,1965.38,1963.46,1965.38,157517824
2026-02-17 11:00:00,1965.92,1969.15,1965.92,1967.63,0
2026-02-17 11:05:00,1967.17,1968.00,1964.73,1964.73,0
2026-02-17 11:10:00,1967.88,1969.79,1967.88,1969.79,0
2026-02-17 11:15:00,1970.06,1970.06,1967.79,1967.79,0
2026-02-17 11:20:00,1968.25,1969.05,1967.82,1967.82,0
2026-02-17 11:25:00,1966.61,1967.46,1964.86,1967.46,20117504
2026-02-17 11:30:00,1969.23,1969.68,1968.90,1968.90,0
2026-02-17 11:35:00,1968.89,1968.89,1966.70,1967.03,0
2026-02-17 11:40:00,1967.14,1967.14,1966.68,1966.90,0
2026-02-17 11:45:00,1965.49,1966.15,1965.16,1965.16,0
2026-02-17 11:50:00,1966.34,1966.80,1966.34,1966.80,40960
2026-02-17 11:55:00,1967.91,1967.91,1967.43,1967.46,4128768
2026-02-17 12:00:00,1967.21,1968.67,1967.21,1968.67,0
2026-02-17 12:05:00,1969.48,1974.74,1969.48,1974.57,45109248
2026-02-17 12:10:00,1973.12,1973.18,1972.75,1972.75,0
2026-02-17 12:15:00,1971.85,1971.85,1970.78,1970.78,22407168
2026-02-17 12:20:00,1970.67,1972.67,1970.67,1972.23,118470656
2026-02-17 12:25:00,1970.67,1971.73,1970.67,1971.73,51417088
2026-02-17 12:30:00,1971.74,1971.74,1971.12,1971.12,0
